City_Geo_ID,Block_GeoID,NatWalkInd,TotPop,Workers,CountHU,HH,D2B_E8MIXA,D2A_EPHHM,D3B,D4A,D2A_Ranked,D2B_Ranked,D3B_Ranked,D4A_Ranked
['1612250'],['160270212003'],[13.5],[4074.4636125707157],[1346.7699163436052],[1152.000586426881],[1152.000586426881],[0.7557005019252516],[0.6730391825267058],[36.683576097526135],[405.02],[15.0],[18.0],[8.0],[16.0]
['1612250'],['160270218003'],[6.0],[198.76938588849805],[91.29889249143888],[80.15147827494333],[76.14782950704704],[0.6845639047745463],[0.47832440616332506],[11.392632051109619],[-99999.0],[9.0],[15.0],[5.0],[1.0]
['1656260'],['160270202001'],[7.499999999999999],[1150.9999999999998],[644.9999999999999],[464.9999999999999],[434.9999999999999],[0.6236411754237566],[0.31531182033126104],[82.72581683831768],[-99999.0],[5.0],[12.0],[13.0],[1.0]
['1656260'],['160270203004'],[13.666666666666666],[1856.000000000001],[752.0000000000003],[618.0000000000002],[573.0000000000002],[0.44038883079014196],[0.41879812565997093],[178.1003486863666],[596.8],[8.0],[6.0],[19.0],[15.0]
['1658060'],['160270218001'],[5.833333333333333],[3.351343387410114],[1.1998940374586469],[1.0732658757186462],[1.0031900968916556],[0.668556901786075],[0.5839982266967207],[3.7654622292320155],[-99999.0],[13.0],[14.0],[3.0],[1.0]
['1633490'],['160270218001'],[5.833333333333333],[89.19133664324588],[31.933508644096836],[28.563476481861205],[26.69850722703178],[0.668556901786075],[0.5839982266967207],[3.7654622292320155],[-99999.0],[13.0],[14.0],[3.0],[1.0]
['1656260'],['160270203002'],[15.666666666666668],[1698.0],[614.0],[585.0],[526.0],[0.6731707966461296],[0.6352377609313115],[137.34977972375196],[447.93],[14.0],[14.0],[17.0],[16.0]
['1633490'],['160270222003'],[4.0],[4.865029275499894],[1.771058525473614],[1.6301566317342766],[1.430545615603549],[0.378119736382064],[0.5369738188102232],[2.7314322199454635],[-99999.0],[11.0],[5.0],[3.0],[1.0]
['1687670'],['160270222003'],[4.0],[7.372647034466683],[2.6839282245343314],[2.4704002331901638],[2.1679022454525927],[0.378119736382064],[0.5369738188102232],[2.7314322199454635],[-99999.0],[11.0],[5.0],[3.0],[1.0]
['1652660'],['160270211001'],[6.5],[66.3543126575928],[29.411284963278163],[22.595228193109413],[21.973263012831513],[0.6629420255008256],[0.5815399329864379],[8.439452530302804],[-99999.0],[13.0],[14.0],[5.0],[1.0]
